x,y,u,v,p
0.08,0.14,-0.01308366,0.01583564,0.1042143
0.1,0.14,-0.01947796,0.02003415,0.1040431
0.12,0.14,-0.02683003,0.02404596,0.1038607
0.14,0.14,-0.03507546,0.02788353,0.1036576
0.16,0.14,-0.04416807,0.03155649,0.1034255
0.18,0.14,-0.05405959,0.03504714,0.1031579
0.2,0.14,-0.06468395,0.03830153,0.1028495
0.22,0.14,-0.07594733,0.04123117,0.1024972
0.24,0.14,-0.08772386,0.04372074,0.1020999
0.26,0.14,-0.09985598,0.04563902,0.1016595
0.28,0.14,-0.1121585,0.04685069,0.101181
0.3,0.14,-0.1244252,0.04722786,0.1006732
0.32,0.14,-0.1364366,0.04666028,0.1001486
0.34,0.14,-0.1479685,0.04506369,0.09962311
0.36,0.14,-0.1587994,0.04238589,0.09911558
0.38,0.14,-0.168717,0.0386105,0.09864666
0.4,0.14,-0.177523,0.03375854,0.09823748
0.42,0.14,-0.1850362,0.02788833,0.09790807
0.44,0.14,-0.1910939,0.0210942,0.09767564
0.46,0.14,-0.1955532,0.01350448,0.09755291
0.48,0.14,-0.1982917,0.005279227,0.09754661
0.5,0.14,-0.1992087,-0.003392212,0.09765631
0.52,0.14,-0.1982273,-0.01229384,0.09787366
0.54,0.14,-0.1952982,-0.02118628,0.09818226
0.56,0.14,-0.1904039,-0.02981101,0.0985582
0.58,0.14,-0.183565,-0.03789647,0.0989713
0.6,0.14,-0.1748471,-0.04516629,0.0993871
0.62,0.14,-0.1643674,-0.05135024,0.09976956
0.64,0.14,-0.1523011,-0.05619807,0.1000842
0.66,0.14,-0.1388846,-0.05949559,0.1003014
0.68,0.14,-0.1244157,-0.06108188,0.1003996
0.7,0.14,-0.1092481,-0.06086609,0.1003676
0.72,0.14,-0.09378053,-0.05884133,0.1002059
0.74,0.14,-0.07843875,-0.05509331,0.09992664
0.76,0.14,-0.06365334,-0.04980191,0.09955203
0.78,0.14,-0.04983371,-0.0432344,0.09911118
0.8,0.14,-0.03734155,-0.03573078,0.09863649
0.82,0.14,-0.02646689,-0.02768342,0.09815957
0.84,0.14,-0.01740882,-0.01951377,0.0977078
0.86,0.14,-0.0102631,-0.01165098,0.09730192
0.88,0.14,-0.005017076,-0.004516428,0.09695514
0.9,0.14,-0.001550833,0.001482894,0.09667378
0.92,0.14,0.000357014,0.005950021,0.09645925
0.94,0.14,0.001021941,0.00848407,0.09631097
0.96,0.14,0.000847412,0.008659538,0.09622937
0.98,0.14,0.000321485,0.006002719,0.09621807
1,0.14,0,0,0.0962656
0,0.16,0,0,0.1051773
0.02,0.16,-0.00128091,0.005197273,0.1049314
0.04,0.16,-0.004684605,0.01099075,0.1046846
0.06,0.16,-0.009815001,0.01679363,0.1044761
0.08,0.16,-0.01633484,0.02234404,0.1042869
0.1,0.16,-0.02401365,0.02758183,0.1040989
0.12,0.16,-0.0327095,0.03253907,0.1038964
0.14,0.16,-0.04233862,0.03726365,0.1036659
0.16,0.16,-0.05284318,0.04177449,0.1033965
0.18,0.16,-0.06416415,0.04604227,0.1030791
0.2,0.16,-0.07622229,0.04998768,0.1027068
0.22,0.16,-0.08890789,0.05349013,0.1022749
0.24,0.16,-0.1020779,0.05640148,0.1017818
0.26,0.16,-0.1155585,0.05856126,0.1012292
0.28,0.16,-0.1291519,0.05981154,0.1006231
0.3,0.16,-0.1426438,0.06000994,0.09997397
0.32,0.16,-0.1558131,0.05904024,0.09929695
0.34,0.16,-0.1684391,0.05681998,0.09861141
0.36,0.16,-0.1803081,0.05330508,0.0979402
0.38,0.16,-0.1912183,0.04849182,0.09730846
0.4,0.16,-0.2009816,0.04241651,0.0967421
0.42,0.16,-0.2094246,0.03515406,0.09626602
0.44,0.16,-0.2163891,0.02681571,0.09590235
0.46,0.16,-0.2217308,0.01754687,0.09566856
0.48,0.16,-0.2253199,0.007525214,0.09557588
0.5,0.16,-0.2270413,-0.003040888,0.09562793
0.52,0.16,-0.2267965,-0.01391367,0.09581971
0.54,0.16,-0.2245074,-0.02482775,0.09613727
0.56,0.16,-0.2201211,-0.03549272,0.09655782
0.58,0.16,-0.213617,-0.04559784,0.09705071
0.6,0.16,-0.2050155,-0.05481922,0.09757916
0.62,0.16,-0.1943886,-0.06283066,0.09810272
0.64,0.16,-0.1818688,-0.06931862,0.09858051
0.66,0.16,-0.1676591,-0.07400099,0.09897483
0.68,0.16,-0.1520374,-0.07664896,0.09925481
0.7,0.16,-0.1353567,-0.07710993,0.09939973
0.72,0.16,-0.1180369,-0.07532869,0.09940126
0.74,0.16,-0.100549,-0.0713633,0.0992643
0.76,0.16,-0.08338998,-0.06539246,0.09900611
0.78,0.16,-0.06705225,-0.05771208,0.0986537
0.8,0.16,-0.0519895,-0.04872058,0.09823997
0.82,0.16,-0.03858437,-0.03889477,0.0977992
0.84,0.16,-0.02712088,-0.02876001,0.09736284
0.86,0.16,-0.01776578,-0.0188606,0.09695626
0.88,0.16,-0.01055951,-0.009735749,0.09659711
0.9,0.16,-0.005416373,-0.001906232,0.09629544
0.92,0.16,-0.002131953,0.004125654,0.09605539
0.94,0.16,-0.000394351,0.00786329,0.09587803
0.96,0.16,0.000203563,0.008793903,0.09576441
0.98,0.16,0.000151816,0.006364373,0.09571777
1,0.16,0,0,0.09573244
0,0.18,0,0,0.1053305
0.02,0.18,-0.001586371,0.007878821,0.1050294
0.04,0.18,-0.005733461,0.01577864,0.1047389
0.06,0.18,-0.01187968,0.02322385,0.1045025
0.08,0.18,-0.0195699,0.0300883,0.1042916
0.1,0.18,-0.02850286,0.03643248,0.1040807
0.12,0.18,-0.03849808,0.04237533,0.1038482
0.14,0.18,-0.04945149,0.04801253,0.1035768
0.16,0.18,-0.06129254,0.05337595,0.1032524
0.18,0.18,-0.07395065,0.05842363,0.1028636
0.2,0.18,-0.08733368,0.06304862,0.1024017
0.22,0.18,-0.1013179,0.06709693,0.1018608
0.24,0.18,-0.115747,0.0703884,0.1012387
0.26,0.18,-0.1304368,0.07273644,0.1005375
0.28,0.18,-0.1451832,0.07396533,0.0997646
0.3,0.18,-0.1597718,0.07392388,0.09893267
0.32,0.18,-0.1739861,0.0724953,0.09806009
0.34,0.18,-0.1876142,0.06960315,0.09717026
0.36,0.18,-0.200454,0.06521386,0.09629071
0.38,0.18,-0.2123151,0.05933661,0.09545173
